product_id,rating,timestamp,text,size,color
4757543,5,"Sep,07 2019 00:20:17",My husband loved it! Good material.,L,CADETBLUE
4757543,5,"Aug,29 2019 14:22:18",I really love it,L,ARMY GREEN
4757543,5,"Aug,09 2019 06:49:54",Thank you,S,ARMY GREEN
4757543,5,"Jul,30 2019 16:38:05",I bought this for my boyfriend he loves it,M,CADETBLUE
4757543,5,"Nov,09 2019 04:38:03","Love the way this hoodie fits. It's built pretty well and has been complimented on several occasions, so much so, that I am going to be buying one in another color. Thanks!",XL,DARK GRAY
4757543,5,"Nov,08 2019 23:04:53","Very warm, bf really liked it. It's also very soft and fits well.",M,RED WINE
4757543,5,"Oct,22 2019 16:39:19",really nice material,L,ARMY GREEN
4757543,5,"Oct,16 2019 08:57:09",it's a cool topn,M,KHAKI
4757543,5,"Oct,15 2019 22:59:29","great quality, just what I expected",2XL,KHAKI
6579813,5,"Jan,01 2019 22:13:21","I was happy to get the item on time and there sizes are perfect when you use there information checklist you can't go wrong, that's always been a worrying issue for me when buying sized items online but no problems with Dreslily there measurements are 100% perfect to ratio, Thanks heaps guys.",3XL,COBALT BLUE
6579813,5,"Dec,15 2018 02:17:07",mine came in 1st & this is for my hubby. i love it. Quality is perfect.,3XL,BLACK
6579813,5,"Dec,11 2018 13:33:29",Received it on time really happy I'll be buying from them again,M,multicolor
6579813,5,"Nov,06 2018 12:31:55",I am happy I have this for Christmas parties to come.This hoodie was a total hit at every Christmas party I wore it to! I cannot tell you how many times I was asked where I got it from :-) I am happy I have this for Christmas parties to come!,,
6579813,5,"Nov,02 2018 12:30:27",Nice product. Thank you,,
6579813,5,"Nov,05 2018 12:25:03","I bought one for my husband, it's very fit for him and so christmas! We are really really love it!",,
6579813,5,"Nov,04 2018 12:28:50","You know what is hard about reviewing this sweater. I am really need a holiday-type clothes for christmas. Is the pattern busy? Yes. It is Christmas colored? Yes. It is a nice, soft hoodie that will probably be worn for a while after the holiday season. It washes well and still looks nice.",,
6579813,5,"Dec,06 2019 01:14:18",Perfect fit!,XL,BLACK
6579813,5,"Nov,19 2019 01:29:52",Looks as pictured and fits as expected,XL,COBALT BLUE
6579813,5,"Nov,19 2019 01:28:47",Fits great and looks just like picture,2XL,multicolor
6579813,5,"Aug,20 2019 13:46:50",This hoodie was the talk of the office during the 2018 holiday season. Can’t wait to order another style for 2019.,M,SHAMROCK GREEN
6579813,5,"Jun,03 2019 11:51:06",Absolutely love it. Highly recommend.,L,multicolor
6579813,5,"Jan,22 2019 08:52:19",Satisfactory Customer Service,L,BLACK
8148819,5,"Sep,24 2019 22:59:23",Feels amazing,XS,BLACK
8183235,5,"Nov,19 2019 23:00:47","Love the big musical notes. Fabric is soft and comfortable, doesn't wrinkle easily Fabric has a shiny, smooth, polyester feel, Not a fleece or cotton hoodie. Ordered a few sizes to large, but I love the loose fit.",3XL,WHITE
3137763,5,"Dec,15 2019 17:55:19",lovely,2XL,BLACK
7704358,5,"Oct,25 2019 13:46:01",really like the asymmetrical design,L,DARK GRAY
8214049,5,"Dec,26 2019 23:55:37",A perfect gift for a friend*,M,CRYSTAL BLUE
1707147,5,"Apr,07 2018 19:08:35",Got this for my husband and for perfect. Make sure you get it at least one or two size bigger than your actual size for it to fit.,XL,ARMY GREEN
1707147,5,"Jan,23 2018 20:08:49",Love this sweater. Fit perfect.,M,ARMY GREEN
8161868,5,"Feb,16 2020 16:54:51",loved it!,M,MEDIUM TURQUOISE
8161868,5,"Feb,04 2020 13:46:11",My son loves this,M,MEDIUM TURQUOISE
8161868,5,"Dec,27 2019 06:37:23",check size chartnn,M,COLORMIX
8161868,4,"Dec,21 2019 06:21:58",very vibrant,3XL,COLORMIX
8161868,5,"Dec,11 2019 19:51:30",great sweatshirt!!,XL,RED
8161868,5,"Dec,11 2019 15:26:45",I love them.. great material. just what I expected.n,2XL,ORANGE
8161868,5,"Dec,08 2019 12:04:39",great gift. true to size.,4XL,RED
8161868,5,"Dec,08 2019 00:10:38",My sons favourite jumper I’ve washed it lots and it hasn’t faded,M,GREEN
8161868,5,"Nov,19 2019 22:46:12",fits well,4XL,ORANGE
8161868,5,"Nov,15 2019 04:49:14",love it,4XL,COLORMIX
8161868,5,"Nov,13 2019 13:06:04","amazing color, the guy I bought it for loves it",L,RED
8161868,5,"Dec,25 2018 22:01:15","Не то, что я ожидал, в описании хлопок и полиэстер, на самом деле из хлопка там только шнурок на капюшоне- голая синтетика. По рзамеру 3XL на 50 размер, рукава короткие, общем разочарование полное :(",3XL,COLORMIX
8160042,5,"Sep,29 2019 08:35:05",I love it! It fits perfict and the design is amazing. defiantly worth the money,XL,RED
8160042,5,"Sep,28 2019 14:01:02","I used the measure chart and the size was perfect for me. The material is spantex and polyester. It's looks like the picture. The picture on this hoodie is good. The delivery arrived in 10 days, I'm from Germany.",XL,RED
8160042,4,"Sep,21 2019 00:58:24",The item arrived on time and the package was in a good state. The design of the hoodie is awesome however the material could have been better.,M,WHITE
8160042,5,"Oct,21 2019 07:24:58","great! feels very comfortable. had to order 2xl to fit length, I'm tall and skinny. I'd order a size larger than normal",2XL,multicolor A
8160042,5,"Oct,16 2019 00:57:24",clean ass hoodien,2XL,multicolor A
8160042,5,"Oct,15 2019 20:41:08",This hoodie looks amazing in real life. The perfect gift for a teenager,L,WHITE
8160042,5,"Oct,09 2019 04:26:22","Comfortable, keeps me warm, and it's the right size.",L,RED
8160042,5,"Oct,04 2019 20:14:02",fucking amazballs fits perfect soooo soft absolutly in love,M,WHITE
8160042,5,"Sep,29 2019 15:22:54",such a comfy pullover!,L,RED
8160042,5,"Nov,05 2019 19:02:56",Nice quality,L,WHITE
8160042,5,"Oct,31 2019 15:19:24","er ist schön, aber du denkst es kommt ein ho odie mit",XL,TEA GREEN
8160042,5,"Oct,30 2019 22:50:27",It’s a little long on me but it does it’s job. Wish it would have been a little bit thicker,S,multicolor A
8160042,5,"Oct,25 2019 04:44:15",cool,M,RED
8160042,5,"Nov,23 2019 00:31:32","My friend was happy and he likes the hoodie very much. The material is pleasant and quite warm, although the fabric is quite thin. Product matches the picture and the colors are nice.",L,RED
8160042,5,"Oct,24 2019 19:45:04","i was a bit surprised about the material, but application is even better in person. we will see how it holds up after couple of washing. so far, so goodn",L,WHITE
8160042,5,"Oct,21 2019 16:48:43",Feels smooth and looks cool. Very pretty image and nice colour utilisation.,S,YELLOW
8160042,5,"Nov,08 2019 04:15:35","awesome top, awesome material! brought it for my best friend, it came so fast and hes going to love it",L,TEA GREEN
8160042,5,"Nov,07 2019 19:01:46",My son loves it. I wanted it to be extra roomy for him so I ordered it 2 sizes bigger. It was a good thing I did. Good quality fabric and Great workmanship.,L,TEA GREEN
8160042,5,"Jan,15 2020 15:11:22",So nice .. thanks ❤️❤️,M,WHITE
8160042,5,"Nov,06 2019 20:22:59","Received it on time, extremely fast actually. Item fabric is kind of thin but just have to later underneath. Ran a little smaller for me. I'm a taller guy and ordered a large and probably should have got an XL. Love the material and the design though. Will probably make this my daily hoodie.",L,RED
8160042,5,"Nov,06 2019 19:17:19","The hoodie looks as good in person as it does in the picture on the website!! I ordered a size medium, and it fits really well!! Got one for me and my boyfriend, we both love it!!",M,TEA GREEN
8160042,5,"Jan,15 2020 09:45:01",I love it. worn it almost every day since I got it,L,RED
8160042,5,"Dec,29 2019 18:02:28",muy bonita la sudadera,L,multicolor A
